,Date,AAPL.O,GLD,GM,IVV,SHY.O,SP500
220,2018/8/13,0.006436141,-0.015199063,-0.011821444,-0.003373277,-0.000240269,-0.004014003
221,2018/8/14,0.004204296,0.000973322,0.001105583,0.006385539,0,0.00636892
222,2018/8/15,0.00233339,-0.016766646,-0.007208237,-0.008005942,0.00048048,-0.007631264
223,2018/8/16,0.01454365,-0.000809753,0.00969134,0.008600316,-0.000240211,0.007888277
224,2018/8/17,0.019773213,0.009228216,0.002476952,0.003280179,0.000360295,0.003317627
225,2018/8/20,-0.009791322,0.004981773,0.010663122,0.002435716,0.000600204,0.002425017
226,2018/8/21,-0.00195122,0.002924108,0.003800222,0.001701478,-0.000240038,0.002066431
227,2018/8/22,4.65E-05,0.002209555,-0.021358972,-3.47E-05,0.000240038,-0.000398269
228,2018/8/23,0.002043946,-0.009491356,-0.012813546,-0.001701537,-0.000120012,-0.001692663
229,2018/8/24,0.003104369,0.01731798,0.007819085,0.006201839,0.000120012,0.006179719
230,2018/8/27,0.008200921,0.003759567,0.047265723,0.007878526,-0.000360079,0.007641124
231,2018/8/28,0.008043184,-0.007973057,-0.009865431,0.000274113,-0.000360209,0.000269232
232,2018/8/29,0.014819102,0.004563813,-0.005373468,0.005636897,-0.000120098,0.005685236
233,2018/8/30,0.009151645,-0.00491574,-0.020686639,-0.004267456,0.000720375,-0.004440118
234,2018/8/31,0.011487777,-0.001144618,-0.008562406,0.000513057,0.00024001,0.000134421
235,2018/9/4,0.003201827,-0.005122781,-0.012561226,-0.001676963,-0.000225487,-0.001655675
236,2018/9/5,-0.006546165,0.003447517,-0.008746,-0.00270961,0,-0.002807107
237,2018/9/6,-0.016757065,0.001939523,-0.015132337,-0.002923627,0.000360555,-0.003658974
238,2018/9/7,-0.008100854,-0.002734049,-0.013765044,-0.002448657,-0.001082056,-0.002215757
239,2018/9/10,-0.013511567,-0.000706776,-0.001180289,0.00224196,0.000120286,0.001896045
240,2018/9/11,0.024968505,0.000618457,-0.002956832,0.003336375,-0.000601576,0.003732862
241,2018/9/12,-0.012496791,0.008355737,0.008550841,6.87E-05,0,0.000356598
242,2018/9/13,0.023868122,-0.0035976,0.005562889,0.005751865,0.000120344,0.005268349
243,2018/9/14,-0.011416004,-0.006526172,0.011033794,-3.41E-05,-0.000361076,0.000275427
244,2018/9/17,-0.026987058,0.005206736,0.011198968,-0.005031242,-0.00024079,-0.005585315
245,2018/9/18,0.001650922,-0.001497468,0.002281804,0.005577336,-0.000120417,0.00535465
246,2018/9/19,0.000595497,0.0038712,0.017789542,0.000716296,-0.000240877,0.001252525
247,2018/9/20,0.007573029,0.003418807,0.009748023,0.008420531,0.000361293,0.007809997
248,2018/9/21,-0.010829688,-0.006849342,-0.021289319,-0.001353363,-0.000240848,-0.000368574
249,2018/9/24,0.014277811,-0.000176243,-0.016269804,-0.003017821,0,-0.003521949
250,2018/9/25,0.006320848,0.001585065,-0.035142709,-0.001053293,0.000120431,-0.001305928
251,2018/9/26,-0.007998054,-0.005293352,0.005350786,-0.002936831,0.000120417,-0.00329467
252,2018/9/27,0.020343338,-0.008884998,-0.001780416,0.002735793,0,0.002759466
